surveyID,samplingPerformedByID,verbatimSiteNames,verbatimSiteDescription,reportedWeather,isSamplingEffortReported,hasMaterialSamples,eventID,verbatimTargetScope,protocolNames,protocolDescriptions,protocolReferences,isAbundanceReported,materialSampleTypes
P2.2A,P2,DOFAtlasIIIQuadrantID: 7655,land cover: urban | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P2.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P2.2B,P2,DOFAtlasIIIQuadrantID: 7655,land cover: urban | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 20-25,True,True,P2.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P3.1A,P3,DOFAtlasIIIQuadrantID: 7629,land cover: dry | subland cover: pasture,Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P3.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P3.1B,P3,DOFAtlasIIIQuadrantID: 7629,land cover: dry | subland cover: pasture,Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P3.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P310.1A,P310,DOFAtlasIIIQuadrantID: 7629,land cover: dry | subland cover: pasture,Wind: Light Breeze 1.6-3.3 | Temperature: 20-24,True,True,P310.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P310.1B,P310,DOFAtlasIIIQuadrantID: 7629,land cover: dry | subland cover: pasture,Wind: Light Breeze 1.6-3.3 | Temperature: 20-24,True,True,P310.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P3.2A,P3,DOFAtlasIIIQuadrantID: 7510,land cover: forest | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 20-25,True,True,P3.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P3.2B,P3,DOFAtlasIIIQuadrantID: 7510,land cover: forest | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 20-25,True,True,P3.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P196.1A,P196,DOFAtlasIIIQuadrantID: 4253,"land cover: dry | subland cover: moor, pasture",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-24,True,True,P196.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P196.1B,P196,DOFAtlasIIIQuadrantID: 4253,"land cover: dry | subland cover: moor, pasture",Wind: Light Breeze 1.6-3.3 | Temperature: 20-24,True,True,P196.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P4.1A,P4,DOFAtlasIIIQuadrantID: 4253,"land cover: dry | subland cover: moor, pasture",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P4.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P4.1B,P4,DOFAtlasIIIQuadrantID: 4253,"land cover: dry | subland cover: moor, pasture",Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P4.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P4.2A,P4,DOFAtlasIIIQuadrantID: 4252,"land cover: wet | subland cover: beach meadow, marsh, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P4.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P4.2B,P4,DOFAtlasIIIQuadrantID: 4252,"land cover: wet | subland cover: beach meadow, marsh, lake",Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P4.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P6.1A,P6,DOFAtlasIIIQuadrantID: 7627,land cover: forest | subland cover: NA,Wind: NA | Temperature: NA,True,True,P6.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P6.1B,P6,DOFAtlasIIIQuadrantID: 7627,land cover: forest | subland cover: NA,Wind: NA | Temperature: NA,True,True,P6.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P6.2A,P6,DOFAtlasIIIQuadrantID: 7636,land cover: urban | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 20-25,True,True,P6.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P6.2B,P6,DOFAtlasIIIQuadrantID: 7636,land cover: urban | subland cover: NA,Wind: NA | Temperature: NA,True,True,P6.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P7.1A,P7,DOFAtlasIIIQuadrantID: 7730,land cover: forest | subland cover: NA,Wind: Moderate breeze 5.5-7.9 | Temperature: 20-25,True,True,P7.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P7.1B,P7,DOFAtlasIIIQuadrantID: 7730,land cover: forest | subland cover: NA,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P7.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P283.1A,P283,DOFAtlasIIIQuadrantID: 7849,land cover: agriculture | subland cover: intensive agriculture,Wind: Moderate breeze 5.5-7.9 | Temperature: 25+,True,True,P283.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P283.1B,P283,DOFAtlasIIIQuadrantID: 7849,land cover: agriculture | subland cover: intensive agriculture,Wind: Moderate breeze 5.5-7.9 | Temperature: 25+,True,True,P283.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P7.2A,P7,DOFAtlasIIIQuadrantID: 7849,land cover: agriculture | subland cover: intensive agriculture,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P7.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P7.2B,P7,DOFAtlasIIIQuadrantID: 7849,land cover: agriculture | subland cover: intensive agriculture,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P7.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P8.1A,P8,DOFAtlasIIIQuadrantID: 4216,"land cover: urban, dry, forest | subland cover: moor",Wind: Moderate breeze 5.5-7.9 | Temperature: 15-20,True,True,P8.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P8.1B,P8,DOFAtlasIIIQuadrantID: 4216,"land cover: urban, dry, forest | subland cover: moor",Wind: Light Breeze 1.6-3.3 | Temperature: 15-20,True,True,P8.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P199.1A,P199,DOFAtlasIIIQuadrantID: 4226,"land cover: forest, dry | subland cover: moor, pasture",Wind: Gentle breeze 3.4-5.5 | Temperature: 15-19,True,True,P199.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P199.1B,P199,DOFAtlasIIIQuadrantID: 4226,"land cover: forest, dry | subland cover: moor, pasture",Wind: Gentle breeze 3.4-5.5 | Temperature: 15-19,True,True,P199.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P8.2A,P8,DOFAtlasIIIQuadrantID: 4226,"land cover: forest, dry | subland cover: moor, pasture",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P8.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P8.2B,P8,DOFAtlasIIIQuadrantID: 4226,"land cover: forest, dry | subland cover: moor, pasture",Wind: Light Breeze 1.6-3.3 | Temperature: 20-25,True,True,P8.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P302.1A,P302,DOFAtlasIIIQuadrantID: 7654,land cover: urban | subland cover: NA,Wind: Moderate breeze 5.5-7.9 | Temperature: 15-19,True,True,P302.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P302.1B,P302,DOFAtlasIIIQuadrantID: 7654,land cover: urban | subland cover: NA,Wind: Gentle breeze 3.4-5.5 | Temperature: NA,True,True,P302.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P9.1A,P9,DOFAtlasIIIQuadrantID: 7654,land cover: urban | subland cover: NA,Wind: Gentle breeze 3.4-5.5 | Temperature: 15-20,True,True,P9.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P9.1B,P9,DOFAtlasIIIQuadrantID: 7654,land cover: urban | subland cover: NA,Wind: Moderate breeze 5.5-7.9 | Temperature: 15-20,True,True,P9.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P302.2A,P302,DOFAtlasIIIQuadrantID: 7653,"land cover: agriculture | subland cover: intensive agriculture, semi-intensive agriculture, extensive agriculture, cropfield",Wind: Moderate breeze 5.5-7.9 | Temperature: 15-19,True,True,P302.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P302.2B,P302,DOFAtlasIIIQuadrantID: 7653,"land cover: agriculture | subland cover: intensive agriculture, semi-intensive agriculture, extensive agriculture, cropfield",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-24,True,True,P302.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P9.2A,P9,DOFAtlasIIIQuadrantID: 7653,"land cover: agriculture | subland cover: intensive agriculture, semi-intensive agriculture, extensive agriculture, cropfield",Wind: Gentle breeze 3.4-5.5 | Temperature: 15-20,True,True,P9.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P9.2B,P9,DOFAtlasIIIQuadrantID: 7653,"land cover: agriculture | subland cover: intensive agriculture, semi-intensive agriculture, extensive agriculture, cropfield",Wind: Light Breeze 1.6-3.3 | Temperature: 15-20,True,True,P9.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P10.1A,P10,DOFAtlasIIIQuadrantID: NA,land cover: agriculture | subland cover: intensive agriculture,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P10.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P10.1B,P10,DOFAtlasIIIQuadrantID: NA,land cover: agriculture | subland cover: intensive agriculture,Wind: Light Breeze 1.6-3.3 | Temperature: 20-25,True,True,P10.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P10.2A,P10,DOFAtlasIIIQuadrantID: 5684,"land cover: wet | subland cover: meadow, marsh, lake",Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P10.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P10.2B,P10,DOFAtlasIIIQuadrantID: 5684,"land cover: wet | subland cover: meadow, marsh, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 25-30,True,True,P10.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P346.2A,P346,DOFAtlasIIIQuadrantID: 5684,"land cover: wet | subland cover: meadow, marsh, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 25+,True,True,P346.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P346.2B,P346,DOFAtlasIIIQuadrantID: 5684,"land cover: wet | subland cover: meadow, marsh, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-24,True,True,P346.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
